Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
AnondefMendekatiKecilYes,16,15.42%,12,75.00%,0.96%,,,,,,,,,,,,
AnondefMendekatiKecilNo,16,9.53%,8,50.00%,0.60%,,,,,,,,,,,,
AnondefMendekatiSedangYes,5,7.02%,5,100.00%,1.40%,,,,,,,,,,,,
AnondefMendekatiSedangNo,7,3.48%,5,71.00%,0.50%,,,,,,,,,,,,
AnondefMendekatiBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefMendekatiBesarNo,3,2.87%,2,67.00%,0.96%,,,,,,,,,,,,
AMendekatiCuramKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiCuramKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiCuramSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiCuramSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiCuramBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiCuramBesarNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiJauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiJauhKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiJauhSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiJauhSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiJauhBesarYes,3,5.74%,3,100.00%,1.91%,,,,,,,,,,,,
AMendekatiJauhBesarNo,6,15.18%,5,83.00%,2.53%,,,,,,,,,,,,
AMendekatiTdk JauhKecilYes,1,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AMendekatiTdk JauhKecilNo,1,0.97%,1,100.00%,0.97%,,,,,,,,,,,,
AMendekatiTdk JauhSedangYes,4,4.27%,2,50.00%,1.07%,,,,,,,,,,,,
AMendekatiTdk JauhSedangNo,9,-4.72%,4,44.00%,-0.52%,,,,,,,,,,,,
AMendekatiTdk JauhBesarYes,8,-6.18%,2,25.00%,-0.77%,,,,,,,,,,,,
AMendekatiTdk JauhBesarNo,2,0.92%,1,50.00%,0.46%,,,,,,,,,,,,
AMendekatinondefKecilYes,6,8.84%,6,100.00%,1.47%,,,,,,,,,,,,
AMendekatinondefKecilNo,18,16.67%,12,67.00%,0.93%,,,,,,,,,,,,
AMendekatinondefSedangYes,13,2.33%,6,46.00%,0.18%,,,,,,,,,,,,
AMendekatinondefSedangNo,10,16.77%,8,80.00%,1.68%,,,,,,,,,,,,
AMendekatinondefBesarYes,1,2.79%,1,100.00%,2.79%,,,,,,,,,,,,
AMendekatinondefBesarNo,1,-2.25%,0,0.00%,-2.25%,,,,,,,,,,,,
AMendekatiMendekatiKecilYes,21,18.38%,14,67.00%,0.88%,,,,,,,,,,,,
AMendekatiMendekatiKecilNo,22,-4.60%,10,45.00%,-0.21%,,,,,,,,,,,,
AMendekatiMendekatiSedangYes,11,12.03%,7,64.00%,1.09%,,,,,,,,,,,,
AMendekatiMendekatiSedangNo,7,1.98%,4,57.00%,0.28%,,,,,,,,,,,,
AMendekatiMendekatiBesarYes,1,3.66%,1,100.00%,3.66%,,,,,,,,,,,,
AMendekatiMendekatiBesarNo,1,6.53%,1,100.00%,6.53%,,,,,,,,,,,,
BCuramCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramBesarYes,1,0.55%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,0.55%,0,0,0.00%,0.00%
BCuramCuramBesarNo,34,50.86%,21,62%,7,7,0,0.00%,-10.24%,18,13,38.24%,24.17%,9,8,23.53%,36.93%
BCuramJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhBesarYes,1,5.97%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,5.97%,0,0,0.00%,0.00%
BCuramJauhBesarNo,7,3.54%,4,57%,2,2,0,0.00%,-2.84%,4,3,42.86%,4.21%,1,1,14.29%,2.17%
BCuramTdk JauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
