Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
AnondefTdk JauhSedangNo,7,13.10%,6,86%,1.87%,,,,,,,,,,,,
AnondefTdk JauhBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefTdk JauhBesarNo,2,9.08%,2,100%,4.54%,,,,,,,,,,,,
AnondefnondefKecilYes,3,2.79%,2,67%,0.93%,,,,,,,,,,,,
AnondefnondefKecilNo,6,0.17%,3,50%,0.03%,,,,,,,,,,,,
AnondefnondefSedangYes,5,4.23%,4,80%,0.85%,,,,,,,,,,,,
AnondefnondefSedangNo,5,3.94%,2,40%,0.79%,,,,,,,,,,,,
AnondefnondefBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefnondefBesarNo,1,5.20%,1,100%,5.20%,,,,,,,,,,,,
AnondefMendekatiKecilYes,5,0.63%,3,60%,0.13%,,,,,,,,,,,,
AnondefMendekatiKecilNo,6,4.90%,3,50%,0.82%,,,,,,,,,,,,
AnondefMendekatiSedangYes,2,2.82%,2,100%,1.41%,,,,,,,,,,,,
AnondefMendekatiSedangNo,1,2.68%,1,100%,2.68%,,,,,,,,,,,,
AnondefMendekatiBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefMendekatiBesarNo,1,2.53%,1,100%,2.53%,,,,,,,,,,,,
AMendekatiCuramKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiCuramKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiCuramSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiCuramSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiCuramBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiCuramBesarNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiJauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiJauhKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiJauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiJauhSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiJauhBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiJauhBesarNo,2,6.61%,1,50%,3.31%,,,,,,,,,,,,
AMendekatiTdk JauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiTdk JauhKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiTdk JauhSedangYes,1,-1.00%,0,0%,-1.00%,,,,,,,,,,,,
AMendekatiTdk JauhSedangNo,3,-4.92%,1,33%,-1.64%,,,,,,,,,,,,
AMendekatiTdk JauhBesarYes,2,-2.00%,0,0%,-1.00%,,,,,,,,,,,,
AMendekatiTdk JauhBesarNo,1,3.92%,1,100%,3.92%,,,,,,,,,,,,
AMendekatinondefKecilYes,3,6.57%,3,100%,2.19%,,,,,,,,,,,,
AMendekatinondefKecilNo,8,9.75%,6,75%,1.22%,,,,,,,,,,,,
AMendekatinondefSedangYes,7,4.37%,4,57%,0.62%,,,,,,,,,,,,
AMendekatinondefSedangNo,5,1.72%,3,60%,0.34%,,,,,,,,,,,,
AMendekatinondefBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatinondefBesarNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiMendekatiKecilYes,10,7.66%,7,70%,0.77%,,,,,,,,,,,,
AMendekatiMendekatiKecilNo,13,-5.20%,5,38%,-0.40%,,,,,,,,,,,,
AMendekatiMendekatiSedangYes,3,5.04%,2,67%,1.68%,,,,,,,,,,,,
AMendekatiMendekatiSedangNo,2,-0.46%,1,50%,-0.23%,,,,,,,,,,,,
AMendekatiMendekatiBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AMendekatiMendekatiBesarNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
BCuramCuramKecilYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramSedangNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramCuramBesarYes,1,0.55%,1,100%,,0,0,0.00%,0.00%,1,1,100.00%,0.55%,0,0,0.00%,0.00%
BCuramCuramBesarNo,34,50.86%,21,62%,,7,0,0.00%,-10.24%,18,13,38.24%,24.17%,9,8,23.53%,36.93%
BCuramJauhKecilYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhSedangNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramJauhBesarYes,1,5.97%,1,100%,,0,0,0.00%,0.00%,1,1,100.00%,5.97%,0,0,0.00%,0.00%
BCuramJauhBesarNo,7,3.54%,4,57%,,2,0,0.00%,-2.84%,4,3,42.86%,4.21%,1,1,14.29%,2.17%
BCuramTdk JauhKecilYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhSedangNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhBesarYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramTdk JauhBesarNo,1,-0.36%,0,0%,,0,0,0.00%,0.00%,1,0,0.00%,-0.36%,0,0,0.00%,0.00%
BCuramnondefKecilYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefSedangNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefBesarYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefBesarNo,1,0.21%,1,100%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,0.21%
BCuramMendekatiKecilYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiSedangNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiBesarYes,1,2.12%,1,100%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,2.12%
BCuramMendekatiBesarNo,1,-0.89%,0,0%,,1,0,0.00%,-0.89%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramKecilYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramSedangNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramBesarYes,3,-0.46%,2,67%,,1,0,0.00%,-2.00%,1,1,33.33%,0.06%,1,1,33.33%,1.48%
BJauhCuramBesarNo,37,42.21%,21,57%,,12,0,0.00%,-15.08%,9,7,18.92%,19.66%,16,14,37.84%,37.63%
BJauhJauhKecilYes,0,0.00%,-15.08%,9,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhKecilNo,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhSedangYes,0,0.00%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhSedangNo,0,0.00%,0,0%,,2,0,0.00%,-1.60%,4,3,37.50%,1.84%,2,2,25.00%,10.90%
BJauhJauhBesarYes,8,11.14%,5,63%,,1,0,0.00%,-0.59%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhJauhBesarNo,0,0.00%,-1.60%,4,,8,0,0.00%,-9.09%,8,7,31.82%,33.52%,6,5,22.73%,43.23%
BJauhTdk JauhKecilYes,1,-0.59%,0,0%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhTdk JauhKecilNo,22,67.66%,12,55%,,1,0,0.00%,-2.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhTdk JauhSedangYes,0,0.00%,-9.09%,8,,0,0,0.00%,0.00%,1,1,100.00%,0.11%,0,0,0.00%,0.00%
BJauhTdk JauhSedangNo,0,0.00%,0,0%,,2,0,0.00%,-1.89%,4,4,50.00%,16.85%,2,2,25.00%,4.80%
BJauhTdk JauhBesarYes,1,-2.00%,0,0%,,1,0,0.00%,-2.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhTdk JauhBesarNo,1,0.11%,1,100%,,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
